KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLAT_STR;SLOZNEPLAT;POCMANDCR;NAZEVPLNY
25;1465;"Pro TOP Vysoèinu";"Pro TOP Vysoèinu";"Pro TOP Vysoèinu";"TOP+KAN+Monarch";3;"040,055,721";"2222222202222";"A";"";0;""
26;1451;"VOK - Volba pro kraj s podporou hnutí Karlovaráci";"VOK - Volba pro kraj s podporou hnutí Karlovaráci";"Koalice VOK, KVC";"KVC+VOK";2;"1028,1118";"2220222222222";"A";"";0;""
27;1152;"Starostové pro Vysoèinu";"Starostové pro Vysoèinu";"Starostové pro Vysoèinu";"STAN+SNK ED";2;"129,166";"2222222202222";"A";"";0;""
28;1118;"VOK - Volba pro kraj";"VOK - Volba pro kraj";"VOK - Volba pro kraj";"VOK";1;"1118";"2222022222220";"A";"";0;""
29;687;"Obèanská demokratická strana s podporou TOP 09";"ODS s podporou TOP 09";"Koalice ODS a TOP 09";"ODS+TOP 09";2;"053,721";"2222222222220";"A";"";0;""
30;1468;"3PK - Pro prosperující Pardubický kraj";"3PK - Pro prosperující Pardubický kraj";"3PK-Pro prosperující Pard. kr.";"ÈSSD+SproK";2;"007,1228";"2222222022222";"A";"";0;""
31;1446;"TRIKOLÓRA - SOUKROMNÍCI";"TRIKOLÓRA - SOUKROMNÍCI";"TRIKOLÓRA - SOUKROMNÍCI";"Trikol+Soukrom";2;"716,1227";"2222222202222";"A";"";0;""
32;1455;"Koalice pro Královéhradecký kraj - KDU-ÈSL - VPM - Nestraníci";"Koalice pro KH kraj - KDU-ÈSL - VPM - Nestraníci";"Koalice KDU-ÈSL, VPM, Nestran.";"KDU+VPM+Nestr.";3;"001,113,181";"2222220222222";"A";"";0;""
33;53;"Obèanská demokratická strana";"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";"0022002222002";"A";"";0;""
34;785;"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"PRO Zdraví";1;"785";"2220222020222";"A";"";0;""
35;1453;"Dìlnická strana sociální spravedlnosti - Èistý kraj - Bez ubytoven zahranièních dìlníkù!";"Dìlnická strana sociál. spravedlnosti - Èistý kraj";"DSSS - Èistý kraj";"DSSS+ÈiKR";2;"156,1021";"2202222222222";"A";"";0;""
36;1453;"Dìlnická strana sociální spravedlnosti - STOP KRIMIGRANTÙM!";"DSSS - STOP KRIMIGRANTÙM!";"DSSS - STOP KRIMIGRANTÙM!";"DSSS+ÈiKR";2;"156,1021";"2222222022222";"A";"";0;""
37;1225;"Jednotní";"Jednotní";"Jednotní";"JEDNOTNÍ";1;"1225";"2222222222220";"A";"";0;""
38;156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"0022202202020";"A";"";0;""
